name,mod,min,max,avg,99lci,99uci
comp_bench_avg,factor_enc_plain,0.9588566758549998,29.792873217532673,3.172015575179924,1.2788985600289053,1.2788985600289053
bench_total,factor_enc_plain,17.82717721134881,64.25144893413935,23.679014242553002,20.79705197486357,20.79705197486357
aggregation,factor_enc_plain,0.41313544188261436,2.8543316880945744,1.233022284595666,1.0683926741688752,1.0683926741688752
accuracy,factor_enc_plain,0.0,0.0,0.0,,
traffic_bytes,factor_enc_plain,0.0,0.0,0.0,,
comp_bench_avg,factor_hom_plain,203365.0058678483,230475.24418068773,217047.8001031926,214557.47520817025,219538.12499821495
bench_total,factor_hom_plain,134231.740210324,188349.88435112385,163060.1503116816,159195.40477354306,166924.8958498201
aggregation,factor_hom_plain,1308.7678095761732,3935.6088218828354,2506.566140176328,2309.3096829563647,2703.8225973962917
accuracy,factor_hom_plain,0.0,0.0,0.0,,
traffic_bytes,factor_hom_plain,0.0,0.0,0.0,,
