algo_upload,algo_parse,algo_topo,comp_upload_avg,comp_parse_avg,comp_bench_avg,bench_total,bench_clust,bench_agg,bench_assemb,eval_mode
11745921,69220616,10596831,4953864,5068,33184027,136284631,158129,517149,311583,Enclave
11021880,68806438,10399459,5272957,485,3486152,93808234,154374,156081,470246,Enclave
10892747,69063858,10652467,5334074,654,4760366,96456597,118080,156446,597708,Enclave
10936300,69382265,10238329,5297685,1430,9129101,103439969,172570,156519,627537,Enclave
11050191,69347305,10354385,5320470,725,5044137,103223296,180823,100,312758,Enclave
10896397,68576021,10364906,5277400,751,5023215,89299183,157466,100,728103,Enclave
11134091,71245888,10613670,5294077,2197,11957587,98811168,158459,311781,695032,Enclave
11141243,69455980,10358641,5489868,2359,14012643,106440838,179804,226347,867454,Enclave
11045015,69393541,10547344,5294329,964,5962087,93373245,193810,100,725674,Enclave
10881145,69087826,10392482,5287845,662,4936297,106510659,157617,157691,622626,Enclave
10864487,71060694,10834210,6095499,970,6139954,94523918,204095,156998,615244,Enclave
10281330,69365521,10389378,5239648,585,4185678,92915268,465101,154816,597306,Enclave
10977082,68881962,10498749,5307065,473,3463670,92721370,155896,154968,428213,Enclave
10441499,68982833,10363274,4759027,1792,11587485,109093230,100,165861,564087,Enclave
10215252,68898809,10390030,6436837,1745,9700285,106876240,787419,157626,775980,Enclave
11101983,68644752,10361652,5258022,1171,9071168,101637971,157015,156850,583105,Enclave
10881225,68987179,10241001,5367654,1095,6410231,96509207,152722,157778,628949,Enclave
12411682,69054956,10390660,5840947,467,3402999,91765338,155545,155682,464208,Enclave
11192382,70090346,10348055,4814288,1295,8720744,99925960,181265,165159,887431,Enclave
10887848,70391282,10619189,4185145,790,5163475,98638860,155894,100,616902,Enclave
10850749,69597995,10243350,6575939,2113,11495896,99742300,157242,156897,614035,Enclave
10761894,68918297,10391018,4768624,774,5154500,100897586,182836,100,329100,Enclave
11007052,69069771,10350784,6000412,21818,88285340,267847801,175195,172608,780633,Enclave
11082715,69105989,10393268,4700360,14695,101341501,277670668,442357,333980,816127,Enclave
10359994,69305407,10501100,5286384,1910,11025415,116829106,295752,125628,739723,Enclave
11048526,69047459,10347376,5357080,591,4403874,97859464,153961,542821,754172,Enclave
11070189,68683180,10483880,5332558,491,3506613,92022148,185054,156106,466389,Enclave
11317209,72986351,10780742,4703694,2007,11813630,117692598,181757,157918,777007,Enclave
11058146,69468379,10508683,4728789,1313,8005045,109027262,122411,158626,636810,Enclave
10843797,70444671,10685072,5283073,981,6096564,101969476,156566,114160,619479,Enclave
10983648,69268857,10401789,5788471,403,3460225,94941679,266295,157140,457747,Enclave
10944121,69128329,10353647,5809559,1023,6525503,105982196,157122,159036,685310,Enclave
11121508,69026261,10349964,6148336,1156,7374778,107613033,112720,154880,594732,Enclave
