traffic_bytes,op_local,levels,op_offload,benchmarking_clients,client_agg,keygen,keygen_size,sample,benchmarking,proxy_agg,server_agg,accuracy,offloaded_pct,op_offload_count
23503488708,0.11991148199996673,7,0.014579501109933748,746.9412673711777,0.7650007406870524,1.4734492301940918,1712016,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,748.4353005886078,0.9069616794586182,0.3098912239074707,4.068774652777773,0.193639394716594,4530
23503488708,0.1203288919370593,7,0.014608679280902113,747.0358347098032,0.7663351694742838,1.4850525856018066,1711244,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,748.9725296497345,0.9122207164764404,0.31049680709838867,3.2728482638888847,0.193639394716594,4530
23503488708,0.11984564702676655,7,0.01403672874105424,743.9305356740952,0.7667559782663981,1.4817540645599365,1711841,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,745.1900811195374,0.9108664989471436,0.311614990234375,3.3245961805555506,0.193639394716594,4530
23503488708,0.11878675893517851,7,0.014330138854896259,743.671170035998,0.7650629679361979,1.4821486473083496,1711554,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,746.5693588256836,0.9087011814117432,0.31098079681396484,3.426023958333329,0.193639394716594,4530
23503488708,0.11988611094672565,7,0.014525284093473657,744.4936187664667,0.7687861919403076,1.4828698635101318,1711591,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,745.7495923042297,0.9121489524841309,0.31070423126220703,5.0584451388888825,0.193639394716594,4530
23503488708,0.12004106556894013,7,0.014544879311231062,744.624196211497,0.7649967273076376,1.4737892150878906,1711794,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,746.0919163227081,0.9084882736206055,0.3107476234436035,5.06014618055555,0.193639394716594,4530
23503488708,0.11824149342034204,7,0.01470457681230625,739.885311961174,0.762547771135966,1.4737062454223633,1711916,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,740.7558612823486,0.9057769775390625,0.3104536533355713,5.060935763888879,0.193639394716594,4530
23503488708,0.12019806143537834,7,0.013943868757083717,746.1128172874451,0.7697198788324991,1.4854497909545898,1711962,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,747.8301260471344,0.913444995880127,0.31684327125549316,4.01832395833333,0.193639394716594,4530
23503488708,0.11918312519712909,7,0.014695270698328418,745.1367850701014,0.7661437193552653,1.4736409187316895,1711678,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,748.7594709396362,0.9086620807647705,0.3105590343475342,3.373080555555552,0.193639394716594,4530
23503488708,0.11813890595270275,7,0.014147289751907585,740.237230459849,0.763546347618103,1.4757368564605713,1712065,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,741.3959808349609,0.9062421321868896,0.30954790115356445,4.170035069444437,0.193639394716594,4530
23503488708,0.11878942543414814,7,0.014701204952551566,742.4072233438492,0.7680250008900961,1.4815821647644043,1711529,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,746.1167073249817,0.9092321395874023,0.3113851547241211,4.3134232638888825,0.193639394716594,4530
23503488708,0.11972363755751506,7,0.01394696661968105,743.6404138406118,0.7636915445327759,1.4783577919006348,1711332,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,745.2754423618317,0.9064521789550781,0.31002163887023926,3.6701913194444407,0.193639394716594,4530
23503488708,0.11819469083204827,7,0.014083191574804041,739.7853865623474,0.765005906422933,1.5053482055664062,1712138,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,741.7839093208313,0.908393144607544,0.310732364654541,5.305513194444436,0.193639394716594,4530
23503488708,0.11896502910982865,7,0.015080212230977106,743.4874526262283,0.7647574345270792,1.4884512424468994,1712114,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,745.5841612815857,0.9102230072021484,0.30988121032714844,4.06859409722222,0.193639394716594,4530
23503488708,0.11965830233564206,7,0.014143810472214722,743.7336980104446,0.7682386239369711,1.482470989227295,1712014,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,745.9419832229614,0.9117259979248047,0.30973219871520996,3.3227149305555512,0.193639394716594,4530
23503488708,0.11783867683877775,7,0.01443482329513853,738.8843958377838,0.7625364859898885,1.4836797714233398,1712129,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,740.7702460289001,0.903101921081543,0.3110034465789795,4.31314479166666,0.193639394716594,4530
23503488708,0.11988802604295118,7,0.014402783732803716,746.0252573887507,0.7657953500747681,1.5080842971801758,1712005,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/IKV_paper/analyst/algorithms.yaml,746.9533369541168,0.9086112976074219,0.31064391136169434,3.967555902777775,0.193639394716594,4530
