algo_upload,algo_parse,algo_topo,comp_upload_avg,comp_parse_avg,comp_bench_avg,bench_total,bench_clust,bench_agg,bench_assemb,eval_mode
8719221,2004720,610747,8069600,1484,232469,79748252,500720,157501,450500,Enclave
8587581,2018941,464977,7807604,1799,310220,75583280,611498,165242,426886,Enclave
8930480,1825505,457791,7970951,14174,1527559,85157251,471293,171703,489702,Enclave
8723624,1841150,610866,7849867,1405,213378,82084995,155148,200873,472746,Enclave
8740563,1816309,610777,7917815,1244,226866,80075086,157542,153367,470953,Enclave
8445525,1990879,611157,7872037,1859,285714,78262613,158091,153397,447648,Enclave
8919923,1987674,465497,7859591,1390,237637,86211119,159300,110207,456770,Enclave
8823072,1839381,459376,7889672,1348,186361,78430597,155549,154755,280501,Enclave
8827203,1076665,458077,7888064,1686,239765,77603134,156521,160265,443125,Enclave
8807401,1823452,465262,7854660,1092,206677,81006506,156095,434910,410250,Enclave
8586935,2006603,457971,8144656,1313,170113,76579570,157428,156505,156614,Enclave
8381645,2179316,466976,7862533,930,158024,77138244,308595,158850,310684,Enclave
8863099,3055907,463265,8130567,1402,273304,79136759,155526,161774,427783,Enclave
8768060,1838931,763794,7785358,1245,221099,80151391,132086,155904,467937,Enclave
8724668,2312633,305879,7854879,1376,222340,83513033,156929,154432,310337,Enclave
8769244,2180133,465966,7845487,1459,289730,79773466,156586,156112,429244,Enclave
8607612,2154040,458029,7751909,1371,233744,83123617,155669,157030,429000,Enclave
8656175,2169581,457551,7865077,1607,271645,79715639,155904,164350,474652,Enclave
8420154,2166810,464025,7799304,1755,217557,77627199,468652,117750,312976,Enclave
8558305,2157388,458392,7821258,1226,207788,85619312,198518,242991,469346,Enclave
8241902,1990429,458241,7989786,1214,239621,79625180,155433,156632,471349,Enclave
8710401,1833461,457962,7913999,1277,304308,77498150,157354,322865,1138575,Enclave
8418974,3726364,458339,7972795,1335,253621,73524569,164156,182965,538087,Enclave
8619054,1838488,458655,7846910,1143,216411,78995664,609819,213678,314591,Enclave
8697086,1854827,614693,7877647,1112,205168,82394029,156368,156016,471893,Enclave
8639331,2360414,466808,7866562,1516,267988,84984299,155727,228917,473127,Enclave
8588703,1833396,738690,7839415,1056,202755,80838343,156971,156621,459660,Enclave
8724831,1995110,458489,7820472,1378,224063,82492019,158851,196517,426650,Enclave
8646835,2329967,311292,7862016,1439,253939,80744840,164669,157025,466799,Enclave
