traffic_bytes,ciphers_up,ciphers_down,cipher_size,op_local,levels,op_offload,benchmarking_clients,client_agg,keygen,keygen_size,sample,benchmarking,proxy_agg,server_agg,accuracy,offloaded_pct,op_offload_count
0,0,0,{},0.04188895225524902,7,-1,1.5974833965301514,0.0171661376953125,1.471714735031128,1711067,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/06dic/analyst/algorithms.yaml,1.5977730751037598,0.01659083366394043,0.0068531036376953125,0.0,0.0,0
0,0,0,{},0.042096853256225586,7,-1,1.5975332260131836,0.017223119735717773,1.473609447479248,1712133,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/05poc/analyst/algorithms.yaml,1.5978107452392578,0.01680469512939453,0.006810426712036133,0.0,0.0,0
3684578,1,1,{1842289: 2},-1,7,0.0233919620513916,1.5618090629577637,0.016523361206054688,1.47464919090271,1711833,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/04sqrt/analyst/algorithms.yaml,1.5620858669281006,0.01649022102355957,0.006574153900146484,0.0,1.0,1
0,0,0,{},0.062398672103881836,7,-1,1.6057488918304443,0.0171358585357666,1.4914827346801758,1711755,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/03mul/analyst/algorithms.yaml,1.6060047149658203,0.017317771911621094,0.006839275360107422,0.0001,0.0,0
5526867,2,1,{1842289: 3},-1,7,2.6226043701171875e-05,1.6411662101745605,0.01898670196533203,1.598823070526123,1712094,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/02div/analyst/algorithms.yaml,1.6413853168487549,0.018110036849975586,0.006735324859619141,0.0,1.0,1
0,0,0,{},0.0011615753173828125,7,-1,1.5402796268463135,0.01704120635986328,1.6335268020629883,1711991,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/01sub/analyst/algorithms.yaml,1.5405430793762207,0.017433881759643555,0.0064623355865478516,0.0,0.0,0
0,0,0,{},0.018709182739257812,7,-1,1.5652484893798828,0.016870975494384766,1.5237648487091064,1711076,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/00add/analyst/algorithms.yaml,1.5655300617218018,0.016791582107543945,0.00646519660949707,0.0,0.0,0
0,0,0,{},0.04197978973388672,7,-1,1.600342035293579,0.01647043228149414,1.4716706275939941,1711001,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/06dic/analyst/algorithms.yaml,1.6005964279174805,0.016096830368041992,0.0066988468170166016,0.0,0.0,0
0,0,0,{},0.041730403900146484,7,-1,1.5969274044036865,0.016497373580932617,1.4708104133605957,1711252,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/05poc/analyst/algorithms.yaml,1.5972118377685547,0.016140222549438477,0.0067212581634521484,0.0,0.0,0
3684578,1,1,{1842289: 2},-1,7,0.023499488830566406,1.5644371509552002,0.01670217514038086,1.4743530750274658,1711654,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/04sqrt/analyst/algorithms.yaml,1.564716100692749,0.01658487319946289,0.006575345993041992,0.0,1.0,1
0,0,0,{},0.0622553825378418,7,-1,1.6097185611724854,0.01662588119506836,1.4899842739105225,1711779,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/03mul/analyst/algorithms.yaml,1.6099853515625,0.01679229736328125,0.006745576858520508,0.0001,0.0,0
5526867,2,1,{1842289: 3},-1,7,1.8596649169921875e-05,1.570300817489624,0.01778578758239746,1.4917259216308594,1710675,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/02div/analyst/algorithms.yaml,1.5705854892730713,0.017992258071899414,0.006577253341674805,0.0,1.0,1
0,0,0,{},0.0011816024780273438,7,-1,1.540787696838379,0.01778388023376465,1.4895949363708496,1711943,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/01sub/analyst/algorithms.yaml,1.5410594940185547,0.018012285232543945,0.006606578826904297,0.0,0.0,0
0,0,0,{},0.018764257431030273,7,-1,1.56374192237854,0.016617774963378906,1.493669033050537,1712141,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/00add/analyst/algorithms.yaml,1.5640151500701904,0.016947031021118164,0.006531238555908203,0.0,0.0,0
0,0,0,{},0.04184770584106445,7,-1,1.599106788635254,0.016588211059570312,1.4684200286865234,1710681,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/06dic/analyst/algorithms.yaml,1.5993692874908447,0.016497135162353516,0.0068705081939697266,0.0,0.0,0
0,0,0,{},0.04177546501159668,7,-1,1.6011590957641602,0.016582489013671875,1.4720666408538818,1711691,/opt/vlad/eval/code/teebench-scone/teebench/data/fhe_data/05poc/analyst/algorithms.yaml,1.6014399528503418,0.016383886337280273,0.006773710250854492,0.0,0.0,0
